nohup: ignoring input
432
standard .xyz file  H288O144
H	16.5617790	16.0554690	22.3611201
O	15.7452680	7.8057780	19.2777559
H	16.5617790	8.2771910	18.9444281
H	15.7452770	7.8057840	20.2777691
O	20.2360590	12.9912970	8.2776099
H	19.4195580	12.5198790	7.9442671
H	21.0525600	12.5198790	7.9442671
O	11.2544770	5.2130190	15.6110405
H	10.4379670	4.7416060	15.2777128
H	11.2544680	5.2130140	16.6110538
O	11.2544770	5.2130190	11.0276464
H	10.4379760	4.7416010	11.3609891
H	12.0709790	4.7416010	11.3609891
O	4.5182910	19.4731950	11.9443252
H	3.7017810	19.9445970	11.6109824
H	4.5182820	18.5303750	11.6109824
O	4.5182910	19.4731950	14.6943617
H	4.5182820	19.4732000	13.6943484
H	3.7017810	19.9446070	15.0276894
O	4.5182910	16.8804360	18.3610770
H	4.5183000	16.8804300	17.3610637
H	5.3348020	16.4090230	18.6944048
O	4.5182910	9.1021580	11.0276464
H	5.3348020	8.6307560	11.3609891
H	4.5183000	10.0449780	11.3609891
O	9.0090820	11.6949170	4.6108945
H	9.0090820	10.7520920	4.2775668
H	9.0090820	11.6949060	5.6109078
O	4.5182910	16.8804360	8.2776099
H	5.3348020	16.4090340	7.9442671
H	4.5183000	17.8232550	7.9442671
O	17.9906640	19.4731950	7.3609310
H	17.9906730	18.5303750	7.6942738
H	18.8071740	19.9445970	7.6942738
O	9.0090820	11.6949170	22.0277923
H	9.0090910	10.7520970	22.3611351
H	9.8255920	12.1663190	22.3611351
O	11.2544770	12.9912970	22.9444712
H	11.2544870	13.9341170	22.6111284
H	12.0709880	12.5198950	22.6111284
O	11.2544770	12.9912970	3.6942157
H	10.4379760	12.5198790	4.0275585
H	12.0709790	12.5198790	4.0275585
O	4.5182910	9.1021580	15.6110405
H	3.7017810	8.6307450	15.2777128
H	4.5182820	9.1021530	16.6110538
O	17.9906640	19.4731950	19.2777559
H	18.8071740	19.9446070	18.9444281
H	17.9906730	19.4732000	20.2777691
O	15.7452680	23.3623340	14.6943617
H	15.7452590	23.3623390	13.6943484
H	14.9287580	23.8337460	15.0276894
O	15.7452680	23.3623340	11.9443252
H	14.9287670	23.8337520	11.6109824
H	16.5617690	23.8337520	11.6109824
O	6.7636870	20.7695750	8.2776099
H	7.5801970	20.2981620	7.9442821
H	6.7636960	20.7695690	9.2776231
O	15.7452680	5.2130190	15.6110405
H	15.7452770	6.1558390	15.2776977
H	16.5617790	4.7416170	15.2776977
O	15.7452680	5.2130190	11.0276464
H	15.7452770	6.1558390	11.3609891
H	16.5617790	4.7416170	11.3609891
O	20.2360590	15.5840560	19.2777559
H	19.4195480	16.0554690	18.9444281
H	20.2360500	15.5840610	20.2777691
O	6.7636870	20.7695750	18.3610770
